data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1990445,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,2,BBC Monitoring; National Afghanistan TV; Paiwastoon Ghag; Shamshad TV; Pajhwok Afghan News,Subnational-national,"Officials claim that joint police and army operations against the Taliban led to the reclaiming of the strategic Landa Kosa area of Tarinkot District, Urozgan Province. 30-40 Taliban were killed (coded across 2 events) and 10 wounded both on the night of January 5, 2018, when the government claimed victory, and in the few days of fighting prior. The Taliban rejected these claims.",15
CON1990450,2018 January,1,Battle-Government regains territory,Police Forces of Afghanistan (2004-) Special Forces,0,Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,2,BBC Monitoring; Paiwastoon Ghag; Xinhua General News Service,Subnational-international,"Police Special Units launched operations against Taliban militants in Kaftar Khana area of Tarinkot District, Urozgan Province, on January 7, 2018. 20 Taliban militants and 9 policemen were killed; 20 policemen and several other militants were wounded. The government claimed to have retaken two villages in the area after the Taliban retreated.",29
CON1990461,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Nuristan,Du Ab,0,Du Ab,35.5392,70.2754,2,Bakhtar News Agency,National,"Reports on January 15, 2018, of recent joint army and police operations that had been ongoing for the past 4 days in Du Ab and Nurgaram Districts, Nuristan Province. 4 Taliban were killed (coded across 8 events), 7-15 arrested, and weapons seized. The government claimed to have cleared several villages of militants' presence.",0
CON1990463,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Helmand,Garmsir,0,Garmsir,31.1167,64.2,2,BBC Monitoring; Paiwastoon Ghag; Helmand Local Radio,Subnational-national,"Joint government forces launched air and ground operations against the Taliban in Garmsir District, Helmand Province, as reported on January 15, 2018. They reported clearing 3 villages of militants and killing or wounding at least 20 militants (half coded as fatalities).",10
CON1990464,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Nuristan,Nurgaram,0,Nurgaram,35.0743,70.4686,2,Bakhtar News Agency,National,"Reports on January 15, 2018, of recent joint army and police operations that had been ongoing for the past 4 days in Du Ab and Nurgaram Districts, Nuristan Province. 4 Taliban were killed (coded across 8 events), 7-15 arrested, and weapons seized. The government claimed to have cleared several villages of militants' presence.",0
CON1990470,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),NATO: North Atlantic Treaty Organization,Taliban,0,2,12,Southern Asia,Afghanistan,Kunduz,Chardara,0,Chardara,36.691,68.7965,2,BBC Monitoring; Afghan Islamic Press; Pajhwok Afghan News; Xinhua General News Service,Subnational-international,"Reports of a 7-day long military operation (January 15-21, 2018) in Chardara District, Kunduz Province, with NATO air support against the Taliban. In total, 50-65 Taliban were killed (41 coded in previous events) and scores of others wounded; 3 Afghan soldiers were also wounded. 10-20 villages were cleared of militant presence. However, the Taliban claimed that 5 US NATO soldiers, 21 Afghan soldiers, and only 8 Taliban were killed while 11 Taliban and many government forces were wounded. More than 2,000 families were displaced by the conflict.",9
CON1990477,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Helmand,Nad Ali,0,Nad-e Ali,31.6323,64.2645,2,BBC Monitoring; Helmand Local Radio; Khaama Press,Subnational-national,"Afghan ground and air forces attacked Taliban positions in Nad Ali District, Helmand Province, on January 23, 2018. 3 militants were killed; 2 were arrested in either Nahri Saraj or Nad Ali District on this day. Police also reported on this day that they had reopened a highway in Nad Ali District, Helmand Province, after massive operations to retake it and establish security points.",3
CON1990487,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Qara Baghi,33.4252,68.4191,1,BBC Monitoring; Ghaznawian TV,Subnational-national,"Officials reported clearing the Qara Baghi area of Ghazni District as well as several villages of Andar and Dih Yak Districts, Ghazni Province, of Taliban presence in ongoing military operations on January 28, 2018. No fatalities reported.",0
CON1990488,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Andar,0,Miray,33.3246,68.4407,2,BBC Monitoring; Ghaznawian TV,Subnational-national,"Officials reported clearing the Qara Baghi area of Ghazni City as well as several villages of Andar and Dih Yak Districts, Ghazni Province, of Taliban presence in ongoing military operations on January 28, 2018. No fatalities reported.",0
CON1990489,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Dih Yak,0,Ramak,33.5223,68.6264,2,BBC Monitoring; Ghaznawian TV,Subnational-national,"Officials reported clearing the Qara Baghi area of Ghazni City as well as several villages of Andar and Dih Yak Districts, Ghazni Province, of Taliban presence in ongoing military operations on January 28, 2018. No fatalities reported.",0
CON1990493,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Farah,Farah,0,Farah,32.3745,62.1164,2,BBC Monitoring; Afghan Islamic Press,Subnational-national,"The MoD reported recent (coded as the last few days) effective military operations against the Taliban on the outskirts of Farah City, claiming that the Taliban were pushed back. A number of militants were killed and wounded (unknown fatalities coded as 10) and their equipment seized.",10
CON1990536,2018 February,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Baghlan,Tala wa Barfak,0,Tala wa Barfak,35.2793,68.3789,2,Xinhua General News Service,International,"Sometime between February 27th and March 1st, 9 Taliban militants were killed by Afghan security forces during cleanup operations in Tala wa Barfak district of Baghlan province. According to a government spokesperson, several villages were retaken from Taliban control.",9
CON1990552,2018 March,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Faryab,Shirin Tagab,0,Shirin Tagab,36.2553,64.8138,2,Xinhua General News Service,International,"During an operation spanning a few days before March 6th, at least 12 Taliban militants, including their district ""shadow governor"", were killed by Afghan security forces in Shirin Tagab district of Faryab province. Several villages were also recaptured from Taliban control.",12
CON1990564,2018 March,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Faryab,Khwaja Sabz Posh,0,Khwaja Sabz Posh,36.06,64.97,2,Pajhwok Afghan News English; BBC Monitoring; National Afghanistan TV,National,"As reported on March 18th, a total of 69 Taliban militants were killed, and 62 villages were cleared and retaken, by recent Afghan security operations in the Khwaja Sabz Posh, Shirin Tagab, and Dawlat Abad districts of Faryab. Security forces were also able to reopen the Maimana-Mazar-i-Sharif highway. The operation is ongoing and titled Navid-8. Fatalities split over three events.",23
CON1990565,2018 March,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Faryab,Shirin Tagab,0,Shirin Tagab,36.2553,64.8138,2,Pajhwok Afghan News English; BBC Monitoring; National Afghanistan TV,National,"As reported on March 18th, a total of 69 Taliban militants were killed, and 62 villages were cleared and retaken, by recent Afghan security operations in the Khwaja Sabz Posh, Shirin Tagab, and Dawlat Abad districts of Faryab. Security forces were also able to reopen the Maimana-Mazar-i-Sharif highway. The operation is ongoing and titled Navid-8. Fatalities split over three events.",23
