data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1990437,2018 January,7,Riots/Protests,Protesters (Afghanistan),Labour Group (Afghanistan),0,0,0,60,Southern Asia,Afghanistan,Herat,Hirat,0,Herat,34.3482,62.1997,3,Pajhwok Afghan News,National,"After masked gunmen torched 3 vehicles belonging to owners of marble mines in the Rabat Akhunzada area of Herat Province on January 1, 2018, the miners protested the insecurity of the roadways by bringing the vehicles to the provincial governor's house.",0
CON1365662,2018 January,7,Riots/Protests,Rioters (Afghanistan),0,0,0,0,50,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,1,Pajhwok Afghan News,National,"Dozens of residents of Tarinkot City carrying guns held a gathering in support of the government on January 2, 2018. They claimed no affiliation with any political party. They also criticized ousted Balkh governor Atta Mohammad Noor for refusing to leave his post.",0
CON1990440,2018 January,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Badakhshan,Fayzabad,0,Fayzabad,37.1166,70.58,3,BBC Monitoring; Noor TV,Subnational-national,"Hundreds of people in Badakshan Province protested in support of ousted Balkh governor, Atta Mohammad Noor, as reported on January 3, 2018.",0
CON1990441,2018 January,7,Riots/Protests,Protesters (Afghanistan),Teachers (Afghanistan),0,0,0,60,Southern Asia,Afghanistan,Helmand,Nahri Saraj,0,Girishk,31.8209,64.57,2,Pajhwok Afghan News,National,"Hundreds of schoolteachers went on strike and gathered in protest on January 3, 2018, in Nahri Saraj District, Helmand Province, to boycott classes until months of unpaid salary was provided. They blamed administrative corruption for the issues.",0
CON1990442,2018 January,7,Riots/Protests,Protesters (Afghanistan),Students (Afghanistan); Teachers (Afghanistan),0,0,0,60,Southern Asia,Afghanistan,Kabul,Kabul,0,Kabul,34.5167,69.1833,1,Pajhwok Afghan News,National,"Up to 300 students and officials from private universities protested a delay in the distribution of degrees by symbolically closing and blocking the gate to the Ministry of Higher Education in Kabul City on January 3, 2018.",0
CON1365253,2018 January,7,Riots/Protests,Rioters (Afghanistan),Labour Group (Afghanistan),Police Forces of Afghanistan (2004-),0,1,15,Southern Asia,Afghanistan,Kabul,Kabul,0,Kabul,34.5167,69.1833,1,BBC Monitoring; Shamshad TV; Agence France Presse,Subnational-international,"Shopkeepers angrily protested a police crackdown on a number of shops accused of bootlegging alcohol and drugs on January 4, 2018. The protests resulted in clashes in which 1 rioter was shot by police. The demonstrations, which grew after the civilian fatality, was later targeted by a suicide bomber (coded as a separate event).",1
CON1990471,2018 January,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Herat,Hirat,0,Herat,34.3482,62.1997,3,BBC Monitoring; Herat TV,Subnational-national,"Hundreds of people protested in support of government forces and against the armed opponents of the government in Herat Province, as reported on January 20, 2018.",0
CON1990479,2018 January,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Faryab,Shirin Tagab,0,Shirin Tagab,36.2553,64.8138,2,Pajhwok Afghan News,National,"Residents of Shirin Tagab District, Faryab Province, gathered on the Maymana-Mazar-e Sharif highway on January 23, 2018, to protest insecurity in the district, resulting in the closing of the highway.",0
CON1360882,2018 January,7,Riots/Protests,Police Forces of Afghanistan (2004-),0,Rioters (Afghanistan),0,5,15,Southern Asia,Afghanistan,Farah,Farah,0,Farah,32.3745,62.1164,1,BBC Monitoring; Afghan Islamic Press; Radio Bost; Afghan Channel One (1TV); Pajhwok Afghan News,Subnational-national,"Police opened fire on rioters who tried to enter the governor's office by force in Farah City on January 24, 2018. The riots began peacefully when hundreds or thousands of residents took to the streets to protest the insecurity in the province as well as the killing of a student by police forces (coded as a separate event). 2-7 civilians were injured when policemen reportedly shot into the air after rioters began to throw stones and smash mirrors on police cars. The governor of Farah stepped down after this incident.",0
CON1990483,2018 January,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Baghlan,Pul-e Khumri,0,Pul-e Khumri,35.9446,68.7151,1,Pajhwok Afghan News,National,"Reports on February 3, 2018, that dozens of residents of different villages around Puli Khumri District had gathered in front of the Baghlan Provincial Council building in the capital city for 2 weeks to protest government negligence and ask for support in rebuilding their homes after they were destroyed in airstrikes by the government.",0
CON1990490,2018 January,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Helmand,Lashkargah,0,Lashkargah,31.5938,64.3716,3,BBC Monitoring; Helmand Local Radio,Subnational-national,"Hundreds of local residents and elders gathered in Helmand Province in support of national security forces and recent security developments, as reported on January 28, 2018.",0
CON1990495,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Kabul,Kabul,0,Kabul,34.5167,69.1833,1,Pajhwok Afghan News,National,"Dozens of Afghan civilians gathered in front of the Pakistani Embassy in Kabul City on February 1, 2018, in order to call on the international community to designate Pakistan as a ""terrorist country."" This comes after claims by Afghan government bodies that Pakistan had aided in training and/or equipping some of the militants responsible for several recent high-profile attacks in the capital.",0
CON1990504,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Logar,Pul i Alam,0,Puli Alam,33.9953,69.0227,1,BBC Monitoring; National Afghanistan TV,National,"On February 5th, thousands of residents from northern Baghlan province staged a protest demonstration in Puli Alam city against militancy and in support of government's programs.",0
CON1990506,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Paktia,Dand Wa Patan,0,Dand Wa Patan,33.7917,69.9094,2,Pajhwok Afghan News English,National,"On February 6th, hundreds of residents staged protests in Dand Wa Patan district against movements by Pakistani forces along the Durand Line.",0
CON1990509,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Baghlan,Pul-e Khumri,0,Pul-e Khumri,35.9446,68.7151,1,Pajhwok Afghan News English,National,"On February 8th, civil society activists from northern Baghlan province staged a protest demonstration in Pul-e Khumri city to demand that the government stop illegal land grabbing, and return lands to their rightful owners.",0
CON1990510,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Kabul,Kabul,0,Kabul,34.5167,69.1833,1,Pajhwok Afghan News English,National,"On February 9th, dozens of youths staged a protest demonstration in Kabul in support of the Pashtun justice protests taking place in Islamabad, Pakistan.",0
CON1990512,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Faryab,Shirin Tagab,0,Shirin Tagab,36.2553,64.8138,2,Pajhwok Afghan News English,National,"On February 11th, the family members of pro-government militia men who were killed by members of another militia in Gerezwan Qashlaq village a day before staged a protest demonstration in Shirin Tagab district to demand justice.",0
CON1990513,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Balkh,Mazar-e Sharif,0,Mazar-e Sharif,36.709,67.1109,1,Pajhwok Afghan News English,National,"On February 11th, hundreds of people staged a protest demonstration in Mazar-e Sharif city, Balkh province, against Pakistan and in support of the Pashtun protest in Islamabad.",0
CON1990518,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Kandahar,Kandahar,0,Kandahar,31.6133,65.7101,3,BBC Monitoring; Shamshad TV,National,"On February 11th, locals staged a protest demonstration in Kandahar province against Pakistan and in support of the Pashtun protest in Islamabad.",0
CON1990521,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Nangarhar,Jalalabad,0,Jalalabad,34.4265,70.4515,1,BBC Monitoring; Sharq TV,National,"On February 11th, hundreds of people staged a protest demonstration in Jalalabad city, Nangarhar province, against Pakistan and in support of the Pashtun protest in Islamabad.",0
CON1990520,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,1,BBC Monitoring; Shamshad TV,National,"As reported on February 13th, locals staged a large protest demonstration in Tarinkot city, Urozgan province, to demand the government launch the distribution of electronic identity cards.",0
CON1990523,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Logar,Pul i Alam,0,Puli Alam,33.9953,69.0227,1,Pajhwok Afghan News English,National,"On February 17th, around 400 locals staged a protest demonstration in Puli Alam city against Pakistan and called for a ban on local transactions in Pakistani rupees across the country.",0
CON1990527,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Samangan,Aybak,0,Samangan,36.2647,68.0155,1,Pajhwok Afghan News English,National,"On February 20th, around 400 supporters of Samangan Provincial Council member Sifatullah Samangani staged a protest in the provincial capital against the appointment of Zaiuddin Zia to the position of Deputy Governor.",0
CON1990529,2018 February,7,Riots/Protests,Protesters (Afghanistan),0,0,0,0,60,Southern Asia,Afghanistan,Kunar,Asadabad,0,Asadabad,34.8731,71.147,3,BBC Monitoring; Shamshad TV,National,"As reported on February 21st, a large number of residents staged a protest demonstration in Kunar province to demand the distribution of electronic identity cards throughout the country.",0
