data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1990435,2018 January,8,Strategic development,Military Forces of Afghanistan (2004-),0,0,0,0,10,Southern Asia,Afghanistan,Kabul,Kabul,0,Kabul,34.5167,69.1833,1,Pajhwok Afghan News,National,"Defusal: A magnetic bomb attached to a vehicle of Ministry of Interior workers was found and defused immediately upon entering the ministry's compounds in Kabul city, as reported on January 1, 2018.",0
CON1990438,2018 January,8,Strategic development,Unidentified Armed Group (Afghanistan),0,0,0,0,30,Southern Asia,Afghanistan,Herat,Hirat,0,Herat,34.3482,62.1997,3,Pajhwok Afghan News,National,"Property Destruction: Masked gunmen torched 3 vehicles belonging to owners of marble mines in the Rabat Akhunzada area of Herat Province on January 1, 2018. The incident reportedly happened 200 meters away from a police checkpoint. The armed men warned them not to come to the area again. The miners protested the insecurity of the roadways by bringing the vehicles to the provincial governor's house. Coded across 2 events.",0
CON1990439,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-),0,0,0,0,10,Southern Asia,Afghanistan,Wardak,Saydabad,0,Saydabad,34.0004,68.7135,2,Khaama Press,Subnational,"Weapons Seizure: The police reported on January 1, 2018, that a huge cache of heavy weapons and ammunition, including artillery rounds, was discovered and seized in Saydabad District, Wardak Province.",0
CON1990436,2018 January,8,Strategic development,Military Forces of Afghanistan (2004-),0,0,0,0,10,Southern Asia,Afghanistan,Nangarhar,Khogyani,0,Kaga,34.2409,70.1827,2,Khaama Press,Subnational,"Defusal: Afghan security forces seized and defused and/or detonated a vehicle-born IED and 8 mortar rounds--the latter in the Sari Kala area--in Khogyani District, Nangarhar Province on January 1, 2018.",0
CON1990443,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-) National Directorate of Security,0,0,0,10,Southern Asia,Afghanistan,Khost,Khost,0,Khost,33.3395,69.9204,3,BBC Monitoring; Radio Bost; Pajhwok Afghan News,Subnational-national,"Weapons Seizure: Afghan police and NDS officials seized military vehicles that had previosuly been hijacked by Taliban militants months before, 61 landmines, rifles, a rocket launcher, and military uniforms in Khost Province the week before it was reported on January 10, 2018.",0
CON1990446,2018 January,8,Strategic development,Taliban,0,0,0,0,20,Southern Asia,Afghanistan,Paktika,Sharana,0,Sharan,33.1757,68.7304,3,BBC Monitoring; Shamshad TV,Subnational-national,"Property Destruction: Taliban militants burned cash assistance sent by the government to needy people in Paktika Province, as reported on January 5, 2018.",0
CON1990447,2018 January,8,Strategic development,Military Forces of Afghanistan (2004-),0,0,0,0,10,Southern Asia,Afghanistan,Helmand,Lashkargah,0,Lashkargah,31.5938,64.3716,3,Khaama Press,Subnational,"Defusal: Afghan security forces discovered and defused 22 IEDs during operations in Helmand Province, as reported on January 6, 2018.",0
CON1990448,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-),0,0,0,0,10,Southern Asia,Afghanistan,Nangarhar,Achin,0,Mohmand,34.045,70.604,1,Bakhtar News Agency,National,"Property Destruction: Afghan border police forces discovered and demolished an IS mine-making factory in Mohmand area of Achin District, Nangarhar Province, reported on January 6, 2018. Hundreds of kilograms of explosive materials and mine-making equipment was also seized.",0
CON1990449,2018 January,8,Strategic development,Islamic State (Afghanistan),0,0,0,0,20,Southern Asia,Afghanistan,Nangarhar,Achin,0,Sra Kala,34.1258,70.7133,2,Khaama Press,Subnational,"Detonation: 3 IS militants were killed while working with their own IEDs in a premature explosion in Achin District, Nangarhar Province, late on January 7, 2018.",3
CON1990451,2018 January,8,Strategic development,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Badakhshan,Argo,0,Argo,37.0635,70.4253,2,Pajhwok Afghan News,National,"Agreement: 40 Taliban militants joined the peace process in Argo District, Badakshan Province, on January 8, 2018. They surrendered weapons and renounced violence, reportedly as a result of clearing operations and elders' mediation.",0
CON1990452,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-),0,0,0,0,10,Southern Asia,Afghanistan,Herat,Guzara,0,Guzara,34.2122,62.2124,2,BBC Monitoring; Herat TV,Subnational-national,"Defusal: Police forces seized and neutralized 3 mines from Guzara District, Herat Province, as reported on January 9, 2018.",0
CON1990453,2018 January,8,Strategic development,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-); Police Forces of Afghanistan (2004-) National Directorate of Security,0,0,0,10,Southern Asia,Afghanistan,Kapisa,Tagab,0,Wali Khel,34.7591,69.6666,1,Bakhtar News Agency; Xinhua General News Service,National-international,"Defusal: ANA, police, and NDS forces discovered and defused 38 rounds of different types of mines in Wali Khel village, Tagab District, Kapisa Province, as reported on January 10, 2018.",0
CON1990455,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-),0,0,0,0,10,Southern Asia,Afghanistan,Kabul,Kabul,0,Kabul,34.5167,69.1833,1,BBC Monitoring; Shamshad TV,Subnational-national,"Defusal: Afghan police forces seized and defused an explosives-laden vehicle in Kabul City, as reported on January 12, 2018.",0
CON1990457,2018 January,8,Strategic development,Taliban,0,0,0,0,20,Southern Asia,Afghanistan,Kunar,Marawara,0,Marawara,34.8914,71.1697,2,Bakhtar News Agency,National,"Detonation: A Taliban vehicle accidentally hit a roadside bomb believed to have previously been planted by Taliban militants in Negal village, Marawara District, Kunar Province, on the night of January 13, 2018. The shadow district governor was killed and the deputy shadow district governor was injured.",1
CON1990460,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Samangan,Hazrat-e Sultan,0,Hazrat-e Sultan,36.4507,67.8962,2,BBC Monitoring; Afghan Islamic Press; Pajhwok Afghan News; Bakhtar News Agency,National,"Weapons Seizure: Afghan police forces seized 238-500kg of explosives and arrested 4 Taliban fighters, including the provincial head of military affairs, in the Dar-e Kalan area of Hazrat-e Sultan District, Samangan Province, on January 14, 2018. Others report the arrests in Samangan City.",0
CON1990459,2018 January,8,Strategic development,Taliban,0,0,0,0,20,Southern Asia,Afghanistan,Sar-e Pol,Sayyad,0,Sayyad,35.9339,66.593,2,Pajhwok Afghan News,National,"Detonation: 3 Taliban militants were wounded in an accidental detonation while transporting bombs in the Baland Gharmu area of Sayyad District, Sar-e Pol Province, on the morning of January 14, 2018.",0
CON1990462,2018 January,8,Strategic development,Taliban,0,0,0,0,20,Southern Asia,Afghanistan,Herat,Ghoryan,0,Ghoryan,34.3448,61.4932,2,BBC Monitoring; Herat TV,Subnational-national,"Detonation: Taliban militants were accidentally blown up by a roadside mine--likely planted by their own group--in Ghoryan District, Herat Province, as reported on January 15, 2018. 3 militants were killed and some others wounded.",3
CON1990465,2018 January,8,Strategic development,Taliban,0,0,0,0,20,Southern Asia,Afghanistan,Nangarhar,Jalalabad,0,Jalalabad,34.4265,70.4515,1,Pajhwok Afghan News,National,"Detonation: Taliban militants carrying explosives on a motorcycle in Jalalabad city on the night of January 17, 2018, were victims of an accidental explosion. 2 militants were killed and a third wounded.",2
CON1990466,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-),0,Unidentified Armed Group (Afghanistan),0,3,13,Southern Asia,Afghanistan,Khost,Musa Khel,0,Musa Khel,33.5333,69.7333,2,BBC Monitoring; Sharq TV; Pajhwok Afghan News,Subnational-national,"Defusal: Afghan police forces discovered and defused an explosives-laden vehicle in the Gabar area of Musa Khel District, Khost Province, as reported on January 17, 2018. 2 suspects were also arrested.",0
CON1990467,2018 January,8,Strategic development,Military Forces of Afghanistan (2004-) Special Forces,0,0,0,0,10,Southern Asia,Afghanistan,Helmand,Lashkargah,0,Lashkargah,31.5938,64.3716,3,Khaama Press,Subnational,"Weapons Seizure: It was reported on January 24, 2018, that the week before, Afghan Special Forces in Helmand Province confiscated 10 mortar rounds, 207 RPG rockets, 150 IEDs, 50 remote-controlled landmines, 250 rounds of ammunitions, 20 hand grenades, 320 kgs of explosives, and 234 equipments for landmines.",0
CON1990468,2018 January,8,Strategic development,Militia (Pro-Government),0,0,0,0,30,Southern Asia,Afghanistan,Nangarhar,Jalalabad,0,Jalalabad,34.4265,70.4515,3,BBC Monitoring; Arman-e Melli,Subnational-national,"Formation of Armed Group: Reports on January 18, 2018, that new public uprising forces had been mobilized for the fight against IS militants in Achin, Kot, Khogyani, and Pachir Wa Agam Districts of Nangarhar Province. 400 fighters were reported in Pachir Wa Agam, 100 in Kot, hundreds in Achin, and 300 in Khogyani District.",0
CON1990472,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-) National Directorate of Security,0,Taliban,0,2,12,Southern Asia,Afghanistan,Kunduz,Kunduz,0,Kunduz,36.729,68.857,1,Pajhwok Afghan News,National,"Weapons Seizure: NDS officials arrested a would-be suicide bomber and seized his explosive devices in Kunduz City, as reported on January 20, 2018.",0
CON1990476,2018 January,8,Strategic development,Police Forces of Afghanistan (2004-) National Directorate of Security,0,Taliban,0,2,12,Southern Asia,Afghanistan,Nangarhar,Mohmand Dara,0,Mohmand Dara,34.2553,70.8657,2,Bakhtar News Agency,National,"Weapons Seizure: NDS officials arested 4 Taliban militants and seized dozens of weapons and explosives from them in Mohmand Dara District, Nangarhar Province, on the night of January 22, 2018.",0
CON1990474,2018 January,8,Strategic development,Unidentified Armed Group (Afghanistan),0,0,0,0,30,Southern Asia,Afghanistan,Ghor,Chaghcharan,0,Chaghcharan,34.5195,65.2509,1,BBC Monitoring; Afghan Islamic Press,National,"Property Destruction: Unidentified armed men set fire to a Radio Adalat station in Chaghcharan City, the capital of Ghor Province, as reported on January 22, 2018. There were no casualties.",0
CON1990475,2018 January,8,Strategic development,Civilians (Afghanistan),Prisoners (Afghanistan),0,0,0,70,Southern Asia,Afghanistan,Kandahar,Kandahar,0,Kandahar,31.6133,65.7101,3,Pajhwok Afghan News,National,"Strikes: Dozens of prison inmates in Kandahar Province reported going on a hunger strike on January 22, 2018, in protest of delays in processing cases and unfair sentences. The strikes continued until at least January 24, 2018.",0
CON1990478,2018 January,8,Strategic development,Taliban,0,0,0,0,20,Southern Asia,Afghanistan,Kunduz,Imam Sahib,0,Joy-e-Begum,37.1431,68.9501,1,BBC Monitoring; Pajhwok Afghan News,National,"Property Destruction: Taliban militants destroyed a bridge with explosives in the Joy-e Begum area of Imam Sahib District, Kunduz Province, that connected 12 villages to the district center, causing price hikes.",0
