data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1620128,2018 January,9,Violence against civilians,Police Forces of Afghanistan (2004-) Afghan Local Police,0,Civilians (Afghanistan),0,7,17,Southern Asia,Afghanistan,Ghazni,Muqur,0,Muqur,32.8201,67.7693,2,BBC Monitoring; Ghaznawian TV,Subnational-national,"It was reported on January 4, 2018, that 2 ALP members were detained on charges of kidnapping a shopkeeper in Muqur District, Ghazni Province (unknown when the kidnapping happened - coded as over the previous week).",0
CON1365902,2018 January,9,Violence against civilians,Unidentified Armed Group (Afghanistan),0,Civilians (Afghanistan),0,7,37,Southern Asia,Afghanistan,Takhar,Taluqan,0,Taloqan,36.7341,69.5336,3,BBC Monitoring; Afghan Channel One (1TV),National,"Unidentified gunmen reportedly killed more than 20 people in Takhar Province over the previous month, as reported on January 19, 2018.",20
CON1365665,2018 January,9,Violence against civilians,Taliban,0,Civilians (Afghanistan),0,7,27,Southern Asia,Afghanistan,Helmand,Garmsir,0,Garmsir,31.1167,64.2,2,BBC Monitoring; Afghanistan Television,Subnational-national,"Reports on January 4, 2018, that the Taliban had recently (coded over the last few days) killed a civilian woman in Garmsir District, Helmand Province.",1
CON1365680,2018 January,9,Violence against civilians,Unidentified Armed Group (Afghanistan),0,Civilians (Afghanistan),Muslim Group (Afghanistan),7,37,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,1,BBC Monitoring; Paiwastoon Ghag,Subnational-national,"Unidentified militants attacked civilians in Tarinkot city, killing 2 and wounding a religious scholar, reported on January 2, 2018.",2
CON1365263,2018 January,9,Violence against civilians,Taliban,0,Civilians (Afghanistan),Police Forces of Afghanistan (2004-),7,27,Southern Asia,Afghanistan,Farah,Bala Buluk,0,Bala Buluk,32.6357,62.4654,2,Associated Press,International,"Taliban militants stopped a bus in Bala Buluk District, Farah Province, on January 4, 2018. They searched the bus, identified 3 members of the Afghan security forces (assumed to be unarmed), took them from the bus, and killed them.",3
CON1364825,2018 January,9,Violence against civilians,Military Forces of Afghanistan (2004-) Special Forces,0,Civilians (Afghanistan),Students (Afghanistan); Healther Workers (Afghanistan),7,17,Southern Asia,Afghanistan,Helmand,Nawzad,0,Nawzad,32.4031,64.4696,2,Pajhwok Afghan News,National,"An Afghan Special Unit conducted an overnight operation in Nawzad District, Helmand Province, on January 6, 2018. 3 civilians, including a woman and an employee of the Lashkargah Emergency Hospital, were killed and another civilian was wounded. The Taliban reported the civilian deaths, including students.",3
CON1364827,2018 January,9,Violence against civilians,Police Forces of Afghanistan (2004-),0,Civilians (Afghanistan),Journalists (Afghanistan),7,17,Southern Asia,Afghanistan,Kunar,Asadabad,0,Asadabad,34.8731,71.147,3,BBC Monitoring; Shamshad TV,Subnational-national,"Police forces reportedly beat up a correspondent of Shamshad TV in Kunar Province, as reported on January 6, 2018.",0
CON1364830,2018 January,9,Violence against civilians,Taliban,0,Civilians (Afghanistan),0,7,27,Southern Asia,Afghanistan,Farah,Bala Buluk,0,Bala Buluk,32.6357,62.4654,2,Bakhtar News Agency,National,"Taliban militants abducted 7 civilian passengers from a bus in Bala Buluk District, Farah Province, on January 6, 2018.",0
CON1364835,2018 January,9,Violence against civilians,Unidentified Armed Group (Afghanistan),0,Civilians (Afghanistan),Former Police Forces of Afghanistan (2004-),7,37,Southern Asia,Afghanistan,Farah,Pur Chaman,0,Pur Chaman,33.1422,63.8612,2,Pajhwok Afghan News,National,"Unidentified gunmen shot and killed a 65-year-old retired police officer in front of his family in Tukeen village, Pur Chaman District, Farah Province. Reported on January 10, 2018, as ""earlier"" (coded over the last week).",1
CON1364663,2018 January,9,Violence against civilians,Taliban,0,Civilians (Afghanistan),Muslim Group (Afghanistan); Islamic State (Afghanistan),7,27,Southern Asia,Afghanistan,Paktia,Jaji,0,Ruqian,33.9869,69.6541,1,BBC Monitoring; Afghan Islamic Press,National,"Taliban militants claimed to have captured 2 Muslim preachers who were supposedly recruiting for and supplying weapons to IS militants in the Ruqian area of Jaji District, Paktia Province, reported on January 7, 2018.",0
