data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1876629,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Farah,Bala Buluk,0,Bala Buluk,32.6357,62.4654,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 26, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Bala Buluk district, Farah province. 3 militants were killed and 1 was injured.",3
CON1876632,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-) Special Forces,0,Taliban,0,2,12,Southern Asia,Afghanistan,Kunduz,Chardara,0,Chardara,36.691,68.7965,2,Bakhtar News Agency,National,"On 25-September-2018, 31 Taliban militants were killed, 17 injured, 48 mines defused and 15 strongholds destroyed, and 12 villages cleared in operations conducted by Afghan Special Forces in the Chardara district, Kunduz province.",31
CON1876635,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Balkh,Dawlat Abad,0,Dawlat Abad,36.9882,66.8207,2,BBC Monitoring; Afghan Islamic Press,Regional,"On 25-September-2018, 7 Taliban militants were killed and 5 others wounded in clashes with Afghan Military Forces in the Jaghal area of Dawlat Abad district, Balkh province.",7
CON1876637,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Jowzjan,Fayzabad,0,Fayzabad,36.8236,66.4577,2,BBC Monitoring; Afghan Islamic Press,Regional,"On 25-September-2018, 10 Taliban militants including a commander were killed and 6 others wounded in clashes with Afghan Military Forces in the Hyderabad area of Fayzabad distrct, Jowzjan province.",10
CON1876640,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-) Special Forces,0,Taliban,0,2,12,Southern Asia,Afghanistan,Kandahar,Maywand,0,Maywand,31.7333,65.1333,2,Pajhwok Afghan News Agency,National,"On 25-September-2018, 47 Taliban militants were killed, 41 others wounded and 6 vehicles, 35 motorbikes, and 8 hideouts destroyed by Afghan Special Forces in operations conducted in the Srabaghal and Container Bazaar area of Maywand district, Kandahar province.",47
CON1876641,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Nangarhar,Shinwar,0,Shinwar,34.1959,70.8318,2,Bakhtar News Agency,National,"On 25-September-2018, 1 Taliban commander was killed and 2 other militants injured in operation conducted by Afghan Military Forces in the Shinwar (Ghani Khail) district of Nanagarhar province. 1 vehicle was destroyed in the operations.",1
CON1876643,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Laghman,Alingar,0,Shahi,34.9168,70.0952,2,Bakhtar News Agency,National,"On 26-September-2018, it was reported 4 Taliban militants were killed and 6 others wounded in clashes with Afghan Military Forces in the Alingar district of Laghman province.",4
CON1876644,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Unidentified Armed Group (Afghanistan),0,3,13,Southern Asia,Afghanistan,Zabul,Atghar,0,Atghar,31.7351,67.3574,2,BBC Monitoring; Paiwastoon Ghag,Subnational,"On 26-September-2018, it was reported that 2 unidentified armed militants were killed and 3 others injured in clashes with Afghan Military Forces in the Atghar district of Zabul province.",2
CON1876645,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Kunduz,Chardara,0,Chardara,36.691,68.7965,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 27, over 24 hours, Afghan military forces conducted a special night operation against suspected Taliban and/or IS militants in Chardara district, Kunduz province. 4 militants were killed and 2 were injured.",4
CON1876646,2018 September,2,Battle-No change of territory,Unidentified Armed Group (Afghanistan),0,Military Forces of Afghanistan (2004-),0,1,13,Southern Asia,Afghanistan,Urozgan,Chora,0,Chora,33.0517,66.7421,2,BBC Monitoring; Paiwastoon Ghag,Subnational,"On 26-September-2018, 3 Afghan Military Forces were killed and 2 others wounded in attacks by unidentified armed militants in the Chora district, Urozgan province.",3
CON1876647,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Chora,0,Chora,33.0517,66.7421,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 27, over 24 hours, Afghan military forces conducted ground and air raids against Taliban militants in Chora, Khas Uruzgan, and Tarinkot districts, Urozgan province. 33 militants were killed (coded across 3 events), 37 were injured, and 2 hideouts and 9 weapons storehouses were destroyed.",11
CON1876648,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Ghazni,33.5508,68.4225,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 27, over 24 hours, Afghan military forces conducted air and ground raids against suspected Taliban and/or IS militants in Ghazni district, Ghazni province. 2 militants were killed and 6 were injured.",2
CON1876649,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Faryab,Gurziwan,0,Gurziwan,35.7121,65.2258,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 27, over 24 hours, Afghan military forces conducted air and ground raids against suspected Taliban and/or IS militants in Gurziwan district, Faryab province. 1 militant was killed and 5 were injured.",1
CON1876650,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Herat,Hirat,0,Herat,34.3482,62.1997,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 27, over 24 hours, Afghan military forces conducted air and ground raids against suspected Taliban and/or IS militants in an area near Herat city. 2 militants were arrested.",0
CON1876651,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Khas Uruzgan,0,Khas Uruzgan,32.9299,66.6891,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 27, over 24 hours, Afghan military forces conducted ground and air raids against Taliban militants in Chora, Khas Uruzgan, and Tarinkot districts, Urozgan province. 33 militants were killed (coded across 3 events), 37 were injured, and 2 hideouts and 9 weapons storehouses were destroyed.",11
CON1876653,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Kandahar,Maywand,0,Maywand,31.7333,65.1333,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 27, over 24 hours, Afghan military forces conducted ground and air raids against Taliban militants in Maywand district, Kandahar province. 6 militants were killed, 9 were injured, and 29 mines were discovered and defused.",6
CON1876654,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Herat,Pashtun Zarghun,0,Pashtun Zarghun,34.2989,62.63,2,BBC Monitoring; Herat TV,Subnational,"On 26-September-2018, it was reported that 3 Taliban militants were killed and 7 others injured in clashes with Afghan Military Forces in the Pashtun Zarghun district of Herat province.",3
CON1876656,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 27, over 24 hours, Afghan military forces conducted ground and air raids against Taliban militants in Chora, Khas Uruzgan, and Tarinkot districts, Urozgan province. 33 militants were killed (coded across 3 events), 37 were injured, and 2 hideouts and 9 weapons storehouses were destroyed.",11
CON1876658,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Kunduz,Chardara,0,Chardara,36.691,68.7965,2,Xinhua General News Service,International,"On 27-September-2018, 8 Taliban militants were killed and 6 wounded in clashes with Afghan Military Forces in the Chardara district of Kunduz province.",8
CON1876661,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Ghazni,Dih Yak,0,Ramak,33.5223,68.6264,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 28, over 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Zana Khan and Dih Yak districts, Ghazni province. 3 militants were killed (coded across 2 events) and 3 were injured.",1
CON1876670,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Herat,Obe,0,Obe,34.3697,63.1764,2,BBC Monitoring; Herat TV,Subnational,"On 27-September-2018, it was reported that 4 Taliban militants were killed in clashes with Afghan Military forces in the Obe district of Herat province.",4
CON1876673,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),Militia (Pro-Government); Police Forces of Afghanistan (2004-); Military Forces of Afghanistan (2004-) Special Forces; Police Forces of Afghanistan (2004-) Afghan Local Police,Taliban,0,2,12,Southern Asia,Afghanistan,Kapisa,Tagab,0,Tagab,34.855,69.6492,2,Khaama Press,National,"On 27-September-2018, 21 Taliban militants inlcuding muliple commanders were killed, 14 wounded, and one arrested in operations conducted by the Afghan army, national police, army special forces, Afghan Local Police, public order police, intelligence forces, and the local uprising forces in Tagab district, Kapisa province. 7 landmines were defused and 1 rifle, hand grenade, camera, munitions and equipment were seized in the operation.",21
CON1876675,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Ghazni,Zana Khan,0,Dado,33.6682,68.6008,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 28, over 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Zana Khan and Dih Yak districts, Ghazni province. 3 militants were killed (coded across 2 events) and 3 were injured.",2
CON1876676,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Paktika,Ziruk,0,Ziruk,33.1581,69.3128,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 28, over 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Ziruk district, Paktika province. 3 militants were killed and 2 were injured.",3
